Continent;Region;Country;Criminality avg,;Criminal markets avg,;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;Cyber-dependent crimes;Financial crimes;Trade in counterfeit goods;Illicit trade in excisable goods;Extortion and protection racketeering;Criminal actors avg,;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;Private sector actors;Resilience avg,;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors
Africa;Southern Africa;Comoros;3.92;3.73;5.00;6.50;3.50;3.00;6.00;2.00;4.50;2.00;3.50;4.50;1.50;5.00;3.50;4.00;1.50;4.10;1.00;4.50;7.00;5.00;3.00;2.38;2.00;2.00;3.00;2.50;2.00;2.00;3.00;4.00;3.00;1.50;1.50;2.00
Africa;Central Africa;Chad;5.50;5.10;7.00;7.50;8.50;1.50;3.50;8.00;2.00;4.50;6.00;7.50;3.00;3.00;5.00;4.50;5.00;5.90;5.00;6.50;8.50;5.00;4.50;2.42;3.00;2.00;5.00;3.00;2.00;2.50;3.00;2.00;2.00;1.00;1.00;2.50
Americas;Caribbean & Central;Haiti;5.93;5.77;7.50;7.00;7.00;6.50;4.50;6.50;2.00;8.00;6.50;3.50;3.00;7.50;5.00;5.00;7.00;6.10;8.50;6.50;8.00;4.50;3.00;2.46;2.00;1.50;3.00;4.00;2.50;2.00;2.00;2.50;2.00;1.50;2.50;4.00
Asia;Central Asia and the Caucasus;Tajikistan;5.45;4.80;7.00;6.50;4.00;2.50;3.50;7.00;8.50;2.00;6.00;5.50;2.00;6.00;5.50;3.00;3.00;6.10;6.00;5.50;9.00;5.00;5.00;2.58;3.00;2.00;3.00;2.00;2.00;3.00;3.00;3.00;3.00;2.00;3.00;2.00
Africa;West Africa;Guinea-Bissau;5.10;4.60;5.50;2.50;5.50;8.50;6.50;1.00;5.00;8.50;5.00;2.00;2.00;6.00;3.00;4.00;4.00;5.60;1.00;8.00;8.50;6.50;4.00;2.58;2.00;2.50;3.50;3.00;3.00;3.00;3.50;3.00;1.50;1.00;2.00;3.00
Africa;East Africa;Sudan;6.37;5.23;8.00;8.00;9.00;2.50;5.50;8.50;2.50;2.50;7.50;5.00;2.50;7.00;3.00;2.50;4.50;7.50;6.50;7.50;8.50;8.00;7.00;2.71;2.00;2.00;5.50;4.50;3.00;2.50;2.50;3.50;2.00;1.00;2.00;2.00
Americas;South America;Suriname;4.77;4.53;4.00;5.00;5.50;4.50;4.00;8.50;1.50;8.50;2.00;3.00;5.00;4.50;5.00;4.00;3.00;5.00;3.00;5.00;7.50;5.50;4.00;3.04;3.00;2.00;4.50;3.50;3.00;3.00;2.00;2.00;2.00;3.00;5.00;3.50
Asia;Western Asia;Iran;7.03;7.37;8.00;8.50;9.00;4.50;4.00;9.50;9.00;5.50;6.00;9.50;8.00;9.00;7.50;8.00;4.50;6.70;5.00;7.50;9.50;6.00;5.50;3.13;2.50;2.00;4.00;4.00;3.00;3.00;5.00;2.50;2.50;3.50;3.00;2.50
Africa;Southern Africa;Zimbabwe;5.47;5.03;5.50;3.50;4.50;4.50;7.00;8.50;4.00;3.50;6.00;5.50;4.50;5.50;4.00;6.50;2.50;5.90;3.50;7.50;8.00;6.00;4.50;3.13;2.00;3.00;3.50;3.50;2.50;3.00;4.50;4.00;3.00;2.00;3.50;3.00
Africa;West Africa;Guinea;4.58;4.77;7.00;4.00;5.50;5.00;6.50;7.00;2.50;7.00;4.50;4.50;2.00;5.50;5.00;4.50;1.00;4.40;1.00;6.00;7.50;6.50;1.00;3.13;2.50;3.50;3.50;4.00;3.50;3.50;3.50;3.00;3.00;2.00;2.00;3.50
Africa;North Africa;Mauritania;4.38;4.27;7.50;6.50;3.50;1.00;4.00;3.50;1.50;4.50;7.00;3.00;1.50;6.00;6.00;6.00;2.50;4.50;1.50;5.00;6.50;6.00;3.50;3.13;4.00;3.50;3.50;3.50;2.50;2.50;4.00;4.50;3.00;1.50;2.00;3.00
Africa;Central Africa;Cameroon;6.27;6.23;6.50;5.50;7.50;7.50;7.50;7.50;4.50;3.50;7.00;7.00;5.00;6.00;7.50;5.00;6.00;6.30;4.50;7.50;8.00;7.00;4.50;3.17;2.00;1.50;5.50;4.50;2.50;4.00;2.00;3.50;2.50;2.50;2.50;5.00
Asia;Western Asia;Iraq;7.13;6.27;7.50;8.50;9.00;1.50;4.00;9.00;6.00;5.00;5.50;7.00;2.00;9.00;6.50;6.50;7.00;8.00;6.50;8.50;8.50;9.00;7.50;3.21;3.50;2.50;4.00;3.50;3.50;3.50;2.50;4.00;3.00;2.50;3.00;3.00
Americas;Caribbean & Central;El Salvador;5.92;5.43;7.00;7.00;7.00;5.00;5.50;1.50;1.50;7.50;7.00;2.50;5.50;6.50;5.00;5.50;7.50;6.40;8.50;7.00;7.50;4.50;4.50;3.21;2.00;2.00;4.50;4.00;2.00;3.00;5.50;3.50;2.00;3.50;4.00;2.50
Europe;Central & Eastern Europe;Belarus;5.87;5.33;7.00;7.50;7.50;3.50;2.50;5.00;4.00;2.50;4.00;5.00;7.00;8.00;6.50;6.00;4.00;6.40;4.00;5.00;9.00;6.50;7.50;3.25;3.00;2.00;3.00;4.00;2.00;3.00;4.00;4.50;4.00;3.00;4.50;2.00
Africa;West Africa;Liberia;5.50;5.40;6.00;3.00;5.00;6.00;6.00;7.00;5.00;6.50;6.00;3.50;4.50;7.50;6.50;4.50;4.00;5.60;3.00;6.50;6.50;6.00;6.00;3.25;3.50;3.00;3.50;4.00;3.50;4.00;3.50;3.50;3.00;1.50;2.00;4.00
