Continent;Region;Country;Criminality avg,;Criminal markets avg,;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;Cyber-dependent crimes;Financial crimes;Trade in counterfeit goods;Illicit trade in excisable goods;Extortion and protection racketeering;Criminal actors avg,;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;Private sector actors;Resilience avg,;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors
Europe;Southern Europe;Cyprus;4.43;3.97;5.50;6.50;2.50;2.50;3.00;2.00;2.50;5.00;4.50;3.00;4.00;5.00;5.50;5.00;3.00;4.90;3.50;5.00;4.00;7.00;5.00;4.46;4.50;4.50;7.00;6.00;4.50;5.50;2.50;3.50;3.50;4.50;4.00;3.50
Africa;Central Africa;Angola;5.58;5.17;6.50;5.00;6.00;7.50;5.50;8.00;3.00;6.50;4.50;2.50;5.00;5.00;4.50;6.00;2.00;6.00;3.50;6.00;8.00;5.00;7.50;4.50;5.00;5.00;5.00;5.00;3.50;4.50;5.50;5.00;4.50;4.00;4.00;3.00
Africa;West Africa;Togo;5.23;4.77;5.50;3.50;4.00;4.00;5.50;6.50;2.50;5.50;7.00;5.00;5.00;3.50;7.00;5.50;1.50;5.70;1.00;7.00;7.50;7.00;6.00;4.50;3.50;4.00;6.00;5.50;4.00;5.00;3.50;3.50;4.50;5.00;5.00;4.50
Africa;North Africa;Tunisia;4.45;5.00;4.00;8.00;3.00;3.50;5.00;5.50;3.50;4.00;7.00;6.00;4.00;8.00;6.00;5.50;2.00;3.90;1.50;4.50;6.50;2.50;4.50;4.50;4.50;4.00;5.00;6.00;3.50;4.50;6.00;5.50;3.50;4.50;3.00;4.00
Europe;Central & Eastern Europe;Ukraine;6.48;6.27;7.50;8.00;9.00;7.00;4.50;7.50;4.00;1.50;6.50;8.00;8.50;6.50;5.50;5.00;5.00;6.70;5.50;7.50;8.00;7.00;5.50;4.54;5.00;3.50;7.50;4.50;4.50;5.00;1.50;4.50;5.00;4.00;4.00;5.50
Africa;Southern Africa;Zambia;4.73;4.47;5.00;3.00;3.50;7.50;5.00;5.50;4.50;3.50;5.00;3.50;4.00;5.00;4.50;5.00;2.50;5.00;3.00;5.00;6.50;7.50;3.00;4.54;4.50;3.50;5.50;6.50;5.00;4.00;3.50;5.50;5.50;3.00;3.00;5.00
Asia;Central Asia and the Caucasus;Kazakhstan;4.47;4.33;6.00;4.50;3.00;2.00;5.00;5.50;6.50;2.50;5.00;6.00;2.50;5.00;4.00;4.00;3.50;4.60;4.00;4.50;6.50;4.00;4.00;4.54;5.00;4.00;5.50;5.50;5.00;4.00;5.00;4.00;5.00;4.00;4.00;3.50
Africa;Southern Africa;Namibia;4.30;4.10;3.50;2.50;3.00;6.50;5.50;4.50;3.00;4.50;3.50;4.50;5.00;4.50;4.50;3.50;3.00;4.50;2.50;5.50;5.00;6.00;3.50;4.54;4.50;4.00;7.00;6.00;4.00;3.50;3.50;4.00;4.00;4.00;4.00;6.00
Africa;Southern Africa;Malawi;4.48;4.77;5.00;4.50;4.50;5.00;6.50;4.50;4.00;3.50;6.50;3.00;2.50;7.00;7.00;6.00;2.00;4.20;2.00;4.50;4.00;5.50;5.00;4.58;5.50;5.00;5.50;5.50;5.00;3.50;3.00;6.00;4.00;2.50;4.00;5.50
Americas;Caribbean & Central;Antigua and Barbuda;2.98;2.67;4.00;2.00;3.50;1.00;3.50;1.50;3.00;6.00;5.50;1.50;1.50;2.50;1.50;1.00;2.00;3.30;3.00;3.50;3.00;5.50;1.50;4.58;4.50;5.00;5.50;5.00;3.00;4.50;4.50;3.50;5.00;4.00;5.00;5.50
Asia;South-Eastern Asia;Brunei;2.85;3.30;5.00;4.00;2.50;3.00;4.00;2.00;2.50;1.50;3.50;4.50;4.00;4.00;3.00;4.00;2.00;2.40;1.00;2.00;3.00;4.00;2.00;4.58;4.00;4.00;4.50;4.50;4.00;5.50;5.50;5.50;6.00;3.00;5.00;3.50
Africa;North Africa;Morocco;4.80;5.10;5.50;7.00;2.00;2.00;4.50;1.50;4.00;6.00;9.00;6.00;4.00;7.50;6.50;6.00;5.00;4.50;1.50;6.50;7.50;4.00;3.00;4.63;4.50;3.50;6.00;6.50;4.00;5.50;6.00;3.50;4.50;4.50;4.00;3.00
Americas;Caribbean & Central;Panama;6.98;6.67;7.50;6.50;7.00;6.50;8.00;6.50;5.00;8.50;4.50;5.00;6.50;7.50;7.50;7.00;6.50;7.30;7.50;7.00;7.50;6.00;8.50;4.67;4.00;4.00;6.00;6.00;3.00;4.50;5.50;3.50;5.50;4.00;4.00;6.00
Asia;Southern Asia;Bhutan;3.90;3.90;6.00;5.00;2.50;6.50;6.00;5.00;2.50;1.50;5.00;3.50;2.50;3.00;3.50;4.00;2.00;3.90;4.00;4.50;4.00;4.00;3.00;4.71;6.00;6.50;5.00;4.50;5.50;5.00;3.50;4.00;5.50;3.50;4.00;3.50
Europe;Central & Eastern Europe;Montenegro;5.90;5.20;5.00;5.50;6.00;3.00;5.50;3.50;5.50;7.00;6.00;4.00;5.50;6.00;3.00;7.50;5.00;6.60;7.50;7.00;7.00;6.00;5.50;4.75;4.50;4.50;6.00;5.00;4.50;4.50;5.00;5.00;4.00;4.00;5.00;5.00
Africa;East Africa;Ethiopia;5.68;6.07;8.00;7.50;8.50;4.50;6.00;6.00;3.50;4.00;6.00;3.00;5.00;7.00;8.00;8.00;6.00;5.30;2.00;6.50;5.00;6.00;7.00;4.75;4.00;4.50;6.00;6.00;5.00;3.50;4.00;7.00;5.00;3.00;5.00;4.00
Asia;South-Eastern Asia;Vietnam;6.55;6.50;7.00;7.00;4.50;7.00;9.00;6.00;7.50;4.00;4.50;7.00;6.50;7.00;7.50;7.00;6.00;6.60;6.00;7.00;7.00;6.50;6.50;4.79;5.00;4.50;6.00;6.00;4.00;4.50;5.50;5.50;5.50;4.50;5.00;1.50
Asia;South-Eastern Asia;Thailand;6.18;6.77;7.00;7.00;6.50;6.50;8.00;6.00;8.00;4.00;4.50;8.50;6.00;8.00;8.00;7.00;6.50;5.60;1.50;6.00;6.50;7.00;7.00;4.79;5.00;4.50;6.50;5.50;4.00;5.50;4.00;5.00;4.50;4.50;5.00;3.50
Americas;Caribbean & Central;Dominican Republic;5.02;5.13;6.50;6.00;4.00;5.00;4.00;4.50;6.50;8.00;5.50;4.50;3.50;5.00;5.50;4.50;4.00;4.90;5.00;5.50;5.50;4.00;4.50;4.79;5.00;3.00;7.50;5.00;4.00;5.00;5.50;4.00;5.00;4.00;4.50;5.00
Americas;South America;Bolivia;4.95;5.00;5.00;4.00;5.00;7.50;6.00;8.00;2.00;8.50;2.50;2.00;4.50;5.00;5.00;7.00;3.00;4.90;4.00;4.50;6.00;5.00;5.00;4.83;5.00;4.00;5.00;6.00;3.00;4.50;4.50;4.50;5.50;5.00;6.00;5.00
Americas;South America;Ecuador;7.07;6.73;6.50;6.00;8.00;7.00;7.00;7.50;6.50;8.50;5.50;5.50;6.50;6.50;6.00;6.00;8.00;7.40;8.00;7.50;7.00;8.00;6.50;4.88;4.50;5.50;6.00;5.00;4.00;4.00;3.50;5.50;5.00;5.50;4.50;5.50
Europe;Central & Eastern Europe;Hungary;4.62;4.73;6.50;6.50;4.50;4.00;4.00;3.50;5.00;5.00;5.50;6.00;5.00;5.50;4.00;4.00;2.00;4.50;1.00;4.00;7.00;5.50;5.00;4.88;4.50;3.50;4.50;5.00;5.00;5.00;6.50;5.50;4.50;4.50;6.00;4.00
Americas;South America;Brazil;6.77;6.93;6.00;5.50;8.50;8.50;8.50;8.50;2.50;9.00;8.50;4.50;8.00;7.00;7.00;5.00;7.00;6.60;8.00;7.00;8.50;3.50;6.00;4.92;3.00;4.50;7.50;4.50;3.00;4.50;5.50;6.00;5.50;5.00;4.00;6.00
Africa;Central Africa;Sao Tome and Principe;1.70;1.70;1.50;1.00;1.50;2.50;2.00;1.00;2.00;2.00;2.50;1.50;1.00;3.00;1.50;1.50;1.00;1.70;1.00;1.50;3.00;2.00;1.00;4.92;6.00;5.00;7.00;7.00;6.00;5.00;5.00;3.00;3.00;4.00;3.00;5.00
Europe;Central & Eastern Europe;Serbia;6.22;5.73;6.00;6.50;6.50;5.00;5.00;5.00;7.00;6.00;6.00;6.00;5.00;7.00;4.50;5.00;5.50;6.70;6.00;7.00;8.00;6.50;6.00;4.96;4.50;4.00;6.50;5.00;5.00;5.00;6.00;5.50;5.00;4.00;5.50;3.50
Americas;Caribbean & Central;St, Kitts and Nevis;3.52;2.83;3.00;2.50;4.50;1.50;2.00;2.00;1.00;7.00;7.00;1.00;1.50;4.50;2.00;2.00;1.00;4.20;1.00;6.00;6.50;5.50;2.00;5.00;6.00;5.00;6.00;6.50;7.00;4.50;6.00;5.50;2.00;2.50;4.00;5.00
Oceania;Micronesia;Nauru;2.05;2.20;1.50;1.50;1.00;1.00;3.50;3.50;1.50;1.50;1.50;1.50;2.50;3.00;4.50;4.00;1.00;1.90;1.00;1.50;3.50;2.50;1.00;5.00;5.00;5.00;6.00;7.50;6.50;5.50;7.50;7.00;3.50;2.00;1.00;3.50
Oceania;Melanesia;Solomon Islands;4.40;3.70;4.50;2.00;3.00;8.00;7.50;3.50;1.00;2.50;3.50;1.50;1.50;7.00;4.00;4.00;2.00;5.10;1.00;4.50;7.00;6.50;6.50;5.08;4.50;4.50;5.00;4.50;5.50;6.00;5.00;5.00;4.50;4.50;7.00;5.00
Asia;Western Asia;United Arab Emirates;6.37;7.03;8.50;6.50;7.00;5.50;7.50;7.50;7.00;6.50;6.50;8.00;8.00;9.50;7.00;5.50;5.00;5.70;1.00;6.50;6.50;7.00;7.50;5.13;5.00;4.50;5.00;5.50;5.50;6.00;5.50;3.50;5.50;6.00;6.50;3.00
Africa;West Africa;Côte d'Ivoire;6.02;5.93;7.00;6.50;7.00;6.00;6.50;6.00;4.00;5.50;6.50;6.00;5.50;6.50;7.00;3.50;5.50;6.10;3.50;7.00;7.50;7.50;5.00;5.13;5.50;4.50;6.00;5.00;5.00;5.50;5.00;5.00;5.00;4.50;5.50;5.00
Europe;Central & Eastern Europe;Albania;5.17;4.83;5.00;6.00;4.50;4.50;3.50;5.00;6.00;6.50;6.50;3.50;6.00;6.00;3.00;3.00;3.50;5.50;6.50;7.00;6.50;3.00;4.50;5.13;5.00;4.50;7.00;6.00;6.00;5.00;5.50;4.00;4.00;4.50;5.00;5.00
Europe;Southern Europe;Malta;5.00;4.30;5.00;3.50;3.00;1.00;5.00;4.50;3.00;5.50;4.50;5.00;5.50;8.00;4.00;4.00;3.00;5.70;3.00;7.00;7.50;5.00;6.00;5.13;4.50;4.00;7.50;6.00;4.50;4.50;4.50;4.50;6.50;7.00;4.00;4.00
Americas;Caribbean & Central;Grenada;2.93;2.67;2.00;2.50;3.00;2.00;2.50;3.50;1.00;6.00;7.00;1.50;3.00;3.00;1.00;1.00;1.00;3.20;2.00;3.00;3.50;4.00;3.50;5.13;5.50;5.00;6.00;5.50;4.50;6.50;6.00;5.00;6.00;3.00;4.00;4.50
Oceania;Melanesia;Vanuatu;2.43;2.67;3.50;1.50;1.50;3.50;6.00;1.50;1.00;2.50;3.50;2.00;2.50;3.50;4.00;2.50;1.00;2.20;1.00;1.50;3.00;4.00;1.50;5.13;5.00;5.50;5.50;6.50;7.00;6.50;4.00;3.00;4.00;5.00;3.50;6.00
Europe;Southern Europe;Greece;5.35;4.70;5.50;8.00;3.50;2.00;2.50;3.00;6.00;5.00;5.50;3.50;3.50;6.50;5.00;5.50;5.50;6.00;3.50;6.50;7.50;6.00;6.50;5.17;5.00;5.00;7.00;6.00;4.50;5.00;5.50;5.50;5.50;4.00;5.00;4.00
Africa;West Africa;Gambia;4.53;4.67;6.00;5.00;2.50;7.00;4.00;4.50;4.50;7.00;7.00;4.00;3.00;5.50;6.50;2.50;1.00;4.40;1.00;6.50;6.50;4.00;4.00;5.17;5.50;5.00;5.50;5.00;4.50;5.00;6.50;5.50;5.50;3.50;4.00;6.50
Americas;Caribbean & Central;Dominica;2.63;2.67;3.00;2.50;5.00;1.00;1.50;1.00;1.00;6.00;6.00;2.50;3.00;4.00;1.00;1.50;1.00;2.60;1.00;5.00;2.00;2.50;2.50;5.17;3.50;4.00;6.50;5.00;4.50;6.00;6.00;5.50;5.00;5.00;6.00;5.00
Asia;Western Asia;Oman;4.40;4.90;7.00;5.00;5.00;5.00;5.50;5.00;5.50;3.00;4.50;6.50;4.50;6.50;4.50;3.50;2.50;3.90;1.00;5.00;4.00;4.00;5.50;5.21;4.50;4.50;6.50;6.50;5.00;7.00;5.50;5.00;4.50;4.50;4.50;4.50
Asia;Eastern Asia;Mongolia;4.12;3.83;5.00;3.00;3.00;5.50;4.50;5.00;2.00;2.00;3.50;5.50;6.00;5.00;3.50;2.00;2.00;4.40;2.00;4.50;5.00;5.50;5.00;5.21;5.00;5.00;6.50;6.50;4.50;5.00;5.50;4.50;3.50;4.50;6.50;5.50
Africa;Southern Africa;Seychelles;3.90;3.50;4.00;3.50;3.50;4.00;4.50;1.00;8.00;4.50;3.50;3.00;2.50;4.50;3.00;2.00;1.00;4.30;2.00;5.00;5.50;5.00;4.00;5.21;5.00;5.50;6.50;5.50;6.00;5.00;5.00;4.50;4.50;4.50;5.00;5.50
Europe;Southern Europe;San Marino;3.48;2.37;2.00;1.50;2.50;1.00;1.50;1.50;2.00;4.00;2.50;1.50;2.00;7.50;3.00;1.00;2.00;4.60;2.00;4.00;5.00;6.50;5.50;5.21;4.00;4.00;6.00;5.50;6.50;5.00;6.00;4.50;5.50;5.50;4.50;5.50
Asia;Central Asia and the Caucasus;Georgia;3.60;3.60;3.50;2.00;3.00;4.00;4.00;3.00;4.00;2.00;3.50;4.00;5.00;5.00;5.00;2.50;3.50;3.60;3.00;3.00;3.50;3.00;5.50;5.25;4.00;5.00;6.00;6.50;3.00;6.50;5.00;5.00;4.50;6.50;5.50;5.50
Europe;Central & Eastern Europe;North Macedonia;5.03;4.87;5.00;6.50;4.50;4.00;3.50;3.00;6.00;5.00;6.00;5.50;5.50;6.00;4.00;3.50;5.00;5.20;3.00;6.00;6.50;5.50;5.00;5.29;5.00;5.50;6.00;5.00;4.50;6.00;6.00;5.50;4.00;4.50;5.50;6.00
Europe;Central & Eastern Europe;Slovakia;4.72;4.73;5.00;4.50;5.00;4.00;3.50;3.00;5.00;5.50;5.00;5.50;6.00;6.50;4.00;5.50;3.00;4.70;3.00;6.00;6.50;5.00;3.00;5.29;5.00;4.50;7.00;6.50;5.00;5.00;6.00;5.00;5.00;4.50;5.00;5.00
Oceania;Polynesia;Tonga;3.70;3.50;3.50;1.00;5.50;1.00;3.50;1.00;1.50;5.00;5.00;7.50;2.00;4.50;4.50;4.00;3.00;3.90;1.00;4.50;5.50;7.00;1.50;5.29;5.00;5.50;6.50;6.50;3.50;6.00;5.00;5.00;5.00;5.00;4.00;6.50
Africa;East Africa;Kenya;7.02;6.93;8.00;7.50;7.50;6.00;7.00;7.00;7.50;6.00;6.50;5.50;8.00;7.50;7.00;6.00;7.00;7.10;7.00;8.00;8.00;6.50;6.00;5.33;5.00;5.00;7.50;7.00;5.00;4.50;6.00;6.00;5.50;3.00;3.00;6.50
Europe;Central & Eastern Europe;Bulgaria;5.65;5.40;5.00;5.50;4.50;6.00;4.50;5.00;6.00;4.50;5.50;6.50;6.00;7.00;5.00;5.00;5.00;5.90;5.00;7.00;7.50;5.00;5.00;5.33;5.00;6.00;6.00;6.00;5.00;5.00;6.00;5.50;5.00;5.00;5.00;4.50
Americas;Caribbean & Central;Trinidad and Tobago;5.20;4.80;6.50;4.50;7.00;1.00;2.50;2.00;2.50;8.00;7.00;4.00;6.00;6.50;4.50;5.00;5.00;5.60;6.00;6.50;5.00;6.50;4.00;5.33;5.00;5.00;6.50;7.00;3.50;5.50;4.50;6.50;4.00;5.50;5.00;6.00
Oceania;Micronesia;Palau;2.70;2.90;3.50;2.50;1.50;1.00;7.00;1.50;2.00;3.00;2.50;4.00;2.50;2.50;4.50;4.00;1.50;2.50;1.00;4.00;2.00;4.00;1.50;5.33;7.00;6.00;7.50;5.50;5.00;5.50;4.50;5.00;4.50;2.50;5.50;5.50
Americas;Caribbean & Central;Cuba;3.37;3.63;5.50;5.50;1.50;3.50;3.00;4.00;2.50;4.00;5.00;3.00;3.00;3.50;5.50;3.00;2.00;3.10;3.00;2.50;3.50;2.00;4.50;5.38;6.50;2.50;6.50;6.00;3.00;7.00;8.00;5.50;5.50;4.00;7.00;3.00
Americas;Caribbean & Central;St, Vincent and the Grenadines;3.08;2.67;2.50;1.00;4.00;1.00;2.00;1.00;1.00;7.50;7.50;1.00;3.00;2.50;2.00;3.00;1.00;3.50;2.00;5.00;2.00;5.50;3.00;5.38;6.00;6.00;6.00;6.50;6.00;4.00;6.00;5.50;4.00;3.00;5.50;6.00
Americas;Caribbean & Central;Jamaica;5.80;4.90;5.00;3.00;9.00;1.50;2.00;1.00;3.00;6.50;8.50;3.00;4.50;7.00;6.50;7.00;6.00;6.70;8.00;8.00;8.00;7.00;2.50;5.42;4.50;5.00;7.00;5.50;3.50;6.00;6.50;4.50;4.50;5.00;6.50;6.50
Asia;Southern Asia;India;5.75;6.70;8.00;6.50;6.00;6.00;7.00;7.00;7.00;3.50;7.50;7.00;7.50;7.00;7.50;6.00;7.00;4.80;3.50;6.50;6.00;3.00;5.00;5.42;4.00;5.00;8.50;5.00;4.50;5.00;8.00;6.50;5.00;4.00;5.00;4.50
Asia;Western Asia;Qatar;5.45;5.70;8.00;6.50;6.50;4.00;6.50;5.00;4.50;4.50;6.50;7.00;7.00;7.50;6.00;4.00;2.00;5.20;1.00;6.00;6.50;6.00;6.50;5.42;5.00;5.50;6.00;5.00;5.00;5.00;7.00;5.50;6.00;5.50;6.00;3.50
Asia;Western Asia;Bahrain;4.95;5.40;8.00;5.50;5.00;3.50;6.00;6.50;5.00;4.00;5.50;7.00;7.00;7.00;5.50;4.00;1.50;4.50;1.50;6.00;4.00;5.00;6.00;5.42;6.00;4.50;7.00;5.50;4.50;4.50;6.50;5.50;6.00;5.50;5.50;4.00
Oceania;Melanesia;Fiji;4.15;4.30;5.00;4.00;2.00;3.50;4.50;2.50;2.50;5.00;6.00;7.00;4.00;5.50;5.00;4.50;3.50;4.00;1.00;5.00;3.00;5.50;5.50;5.42;5.50;5.00;5.50;6.00;4.00;5.00;5.00;6.00;6.00;6.00;5.50;5.50
Africa;West Africa;Ghana;5.80;6.00;7.00;5.50;6.00;7.00;6.50;7.50;6.00;6.50;6.00;7.00;6.00;6.00;5.00;4.50;3.50;5.60;3.00;6.50;7.50;6.50;4.50;5.46;6.00;5.50;6.50;5.00;5.00;4.50;6.00;6.00;6.50;3.50;4.00;7.00
Africa;Southern Africa;Botswana;4.35;4.40;4.50;3.50;4.00;2.50;7.50;3.50;3.50;3.50;4.50;4.00;5.00;5.50;5.00;5.50;4.00;4.30;1.00;5.50;4.00;5.50;5.50;5.46;5.00;4.00;8.50;7.00;6.00;5.00;5.00;5.00;6.00;4.50;4.50;5.00
Americas;Caribbean & Central;Bahamas;3.75;3.60;5.00;5.50;5.50;1.50;4.50;2.00;4.00;7.50;4.50;3.00;2.50;3.50;2.00;1.50;1.50;3.90;4.00;3.00;3.00;6.00;3.50;5.50;6.00;5.50;6.50;6.50;3.50;6.50;5.00;5.00;4.00;7.00;5.50;5.00
Asia;Western Asia;Kuwait;5.20;5.70;8.00;6.50;6.00;5.50;6.00;6.00;5.00;4.50;6.50;7.00;6.50;7.00;6.00;3.00;2.00;4.70;1.00;6.00;6.00;4.00;6.50;5.54;5.00;4.50;6.00;5.50;5.50;6.00;5.50;5.50;6.50;5.50;5.50;5.50
Africa;Southern Africa;Mauritius;4.37;4.13;4.50;3.50;2.50;3.50;3.00;4.00;8.00;3.50;5.50;8.00;4.00;4.50;4.00;2.00;1.50;4.60;2.00;6.50;6.00;4.50;4.00;5.54;6.00;6.00;6.50;6.00;5.50;5.50;5.50;4.00;7.00;4.00;5.00;5.50
Africa;Central Africa;Rwanda;3.60;4.00;5.00;2.50;5.00;2.50;4.00;8.50;3.00;2.50;4.00;1.50;4.50;6.00;6.00;4.00;1.00;3.20;1.00;3.00;5.00;4.00;3.00;5.54;5.50;4.50;5.00;6.00;5.00;7.00;6.50;6.00;6.50;5.50;5.50;3.50
Asia;Western Asia;Jordan;4.93;4.87;6.00;5.50;6.50;3.50;3.50;2.00;3.50;3.00;6.00;7.00;5.50;6.50;5.50;5.00;4.00;5.00;1.50;7.00;6.00;4.50;6.00;5.58;5.50;4.50;8.00;6.00;4.50;6.50;6.00;6.50;4.00;4.50;6.50;4.50
Americas;Caribbean & Central;St, Lucia;3.53;2.67;4.00;1.50;5.00;2.00;1.00;1.00;1.00;7.50;7.00;1.00;2.00;2.50;2.00;1.50;1.00;4.40;5.00;4.00;5.00;6.00;2.00;5.58;7.50;6.50;6.50;6.50;6.00;4.50;5.50;4.00;5.00;5.00;6.00;4.00
Americas;South America;Colombia;7.75;7.30;8.00;7.50;8.00;7.00;7.00;9.00;5.00;9.50;7.00;6.00;7.00;8.00;7.50;4.50;8.50;8.20;9.50;9.50;7.50;7.50;7.00;5.63;6.00;5.50;9.00;6.50;5.50;5.00;4.50;6.00;5.00;3.50;4.50;6.50
Africa;Southern Africa;South Africa;7.18;6.87;4.50;5.00;8.00;5.00;8.00;8.00;7.50;7.00;5.00;8.50;7.00;7.50;7.00;7.00;8.00;7.50;7.50;8.00;8.00;7.50;6.50;5.63;5.50;5.50;6.00;7.00;6.00;4.50;6.00;5.50;6.00;4.00;4.50;7.00
Americas;Caribbean & Central;Costa Rica;5.53;5.37;5.00;6.00;5.00;5.00;6.00;7.00;1.00;7.50;4.50;3.50;7.00;5.50;5.50;6.00;6.00;5.70;7.00;6.00;2.50;7.00;6.00;5.63;7.00;6.50;6.50;6.50;6.00;5.00;5.00;4.00;4.50;5.00;5.00;6.50
Europe;Southern Europe;Monaco;2.58;1.67;2.00;1.00;1.50;1.00;1.00;1.50;2.00;2.00;2.50;2.00;3.00;2.50;1.00;1.00;1.00;3.50;1.00;3.00;3.50;5.50;4.50;5.63;3.50;4.50;5.50;6.50;8.00;7.00;6.00;5.50;4.00;8.00;5.00;4.00
Asia;Eastern Asia;China;6.37;6.53;7.00;6.50;3.00;8.50;9.00;5.00;6.50;3.50;4.50;8.00;8.50;7.50;9.50;6.00;5.00;6.20;6.50;7.50;7.00;3.00;7.00;5.67;6.00;4.00;6.00;7.50;5.00;6.00;7.50;6.50;7.50;4.00;6.00;2.00
Asia;Central Asia and the Caucasus;Armenia;2.82;2.93;3.00;1.50;2.00;3.50;4.00;2.50;4.50;1.50;3.50;4.00;2.50;3.00;3.50;3.50;1.50;2.70;2.50;3.00;3.00;3.00;2.00;5.71;7.00;6.00;7.00;6.50;4.50;6.50;3.00;6.00;6.00;5.00;4.50;6.50
Africa;West Africa;Nigeria;7.28;7.37;7.50;6.00;8.50;6.00;7.00;8.00;6.00;7.00;8.00;8.50;8.00;7.00;8.00;7.00;8.00;7.20;5.50;8.50;7.50;7.50;7.00;5.79;5.50;5.00;7.50;7.50;5.00;5.00;5.00;5.00;6.50;5.00;5.50;7.00
Africa;West Africa;Senegal;5.52;5.53;5.50;5.00;5.00;7.50;7.00;4.50;3.00;7.00;7.00;3.00;5.00;5.50;7.50;6.00;4.50;5.50;3.00;6.00;5.00;6.50;7.00;5.79;5.50;5.00;7.00;6.50;5.00;6.00;7.00;5.00;5.50;5.00;5.00;7.00
Oceania;Micronesia;Marshall Islands;2.52;2.73;5.00;2.00;2.00;1.00;7.50;1.00;1.50;2.00;2.50;2.50;3.00;3.50;3.00;3.50;1.00;2.30;1.00;2.50;3.00;3.00;2.00;5.79;7.00;6.50;6.00;6.50;7.00;5.50;6.00;4.50;6.50;3.50;4.00;6.50
Oceania;Polynesia;Samoa;2.43;2.97;3.50;2.00;3.00;1.50;3.00;2.00;1.00;3.50;5.50;4.00;2.50;3.50;4.50;4.00;1.00;1.90;1.00;2.50;2.50;2.50;1.00;5.83;4.50;5.50;6.00;6.50;6.00;6.50;7.50;5.50;3.00;5.50;6.50;7.00
Europe;Central & Eastern Europe;Poland;4.48;4.97;5.50;6.00;4.50;2.50;5.00;5.50;4.00;5.00;5.50;7.00;5.50;6.00;4.50;5.50;2.50;4.00;2.00;6.00;4.50;3.50;4.00;5.88;5.50;4.00;7.50;7.00;5.00;6.50;7.50;6.50;6.50;5.00;5.50;4.00
Oceania;Micronesia;Micronesia (Federated States of);3.00;3.00;5.00;3.00;1.50;1.50;7.00;1.00;1.00;3.50;4.00;3.50;2.00;2.50;4.00;4.00;1.50;3.00;1.00;4.50;2.50;5.50;1.50;5.88;7.00;4.00;7.00;6.00;6.50;6.50;6.00;5.00;4.50;5.50;5.50;7.00
Asia;South-Eastern Asia;Malaysia;6.23;6.67;7.50;7.50;5.50;6.50;8.00;5.50;7.00;4.00;5.00;7.50;8.00;8.00;7.50;7.00;5.50;5.80;4.50;5.50;6.00;7.00;6.00;5.92;4.50;5.50;7.00;7.50;5.50;5.50;5.50;6.00;7.00;6.00;6.50;4.50
Europe;Central & Eastern Europe;Croatia;5.15;4.90;5.00;6.50;4.50;4.50;3.50;4.50;5.00;6.50;6.00;5.50;4.50;5.50;4.00;4.00;4.00;5.40;4.00;6.50;6.00;5.00;5.50;5.92;5.50;6.00;7.00;7.00;5.50;6.00;6.50;6.50;5.00;6.00;5.50;4.50
Americas;South America;Argentina;5.00;4.50;5.00;3.50;3.50;2.00;4.00;2.50;2.00;7.00;7.50;3.00;5.50;3.50;7.00;6.50;5.00;5.50;5.00;6.00;6.00;5.50;5.00;5.96;6.50;4.50;6.00;6.00;5.50;5.50;6.00;7.00;6.00;6.00;5.00;7.50
Europe;Central & Eastern Europe;Romania;4.58;5.27;6.00;5.50;5.00;6.00;4.50;4.00;5.50;5.50;5.00;5.00;6.00;6.00;5.00;6.00;4.00;3.90;3.00;5.50;3.50;4.00;3.50;6.00;6.00;6.50;7.00;6.00;6.50;6.00;6.50;5.00;5.50;6.00;6.00;5.00
Europe;Central & Eastern Europe;Slovenia;4.37;4.03;4.00;5.50;4.00;3.00;3.00;2.50;4.00;5.50;5.00;5.00;5.00;6.00;3.00;2.00;3.00;4.70;3.00;5.00;6.50;5.00;4.00;6.04;6.00;5.00;7.00;7.00;6.00;6.00;7.50;5.00;5.00;6.00;6.00;6.00
Asia;Western Asia;Israel;4.85;5.00;6.00;2.50;6.50;1.50;2.00;5.50;3.00;5.50;6.50;5.50;9.00;6.50;5.00;5.00;5.00;4.70;5.50;4.00;5.00;4.00;5.00;6.08;6.00;5.00;6.50;6.50;5.00;6.50;3.50;7.00;7.50;6.50;6.50;6.50
Oceania;Polynesia;Tuvalu;1.62;1.93;1.50;1.00;1.00;1.00;5.00;1.00;1.00;1.50;2.50;1.50;1.50;2.50;4.00;3.00;1.00;1.30;1.00;1.00;1.50;1.50;1.50;6.08;5.50;6.00;5.00;6.50;8.00;7.00;6.50;6.50;6.00;4.50;4.50;7.00
Americas;Caribbean & Central;Barbados;3.07;2.43;4.00;2.00;5.00;1.00;1.50;2.00;1.00;6.00;5.00;1.00;1.50;2.00;1.50;1.00;2.00;3.70;5.00;4.50;4.00;2.50;2.50;6.13;6.00;7.50;7.50;7.00;5.00;7.00;6.50;5.00;4.50;5.50;6.00;6.00
